РЕЕСТР КОНТРОЛЬНЫХ ЗАДАНИЙ (правовая серия)
Фиксируется до начала прогона; эталоны после фиксации не изменяются.
Формат записи: КОД;ДОМЕН;ВОПРОС;ЭТАЛОН
Г7;Д2;Какова максимальная высота объекта индивидуального жилищного строительства (ст. 1 ГрК РФ)?;не более 20 метров
Г8;Д2;Какое максимальное количество надземных этажей допускается у объекта индивидуального жилищного строительства (ст. 1 ГрК РФ)?;не более 3 этажей
Г9;Д2;Требуется ли разрешение на строительство для объекта индивидуального жилищного строительства (ст. 51.1 ГрК РФ)?;не требуется, применяется уведомительный порядок
Г10;Д2;В какой срок застройщик обязан направить уведомление об окончании строительства объекта ИЖС (ст. 55 ГрК РФ)?;в течение 1 месяца со дня окончания строительства
Г11;Д2;В какой срок орган власти рассматривает уведомление о планируемом строительстве объекта ИЖС (ст. 51.1 ГрК РФ)?;7 рабочих дней
Г12;Д2;Каков срок действия уведомления о соответствии планируемого строительства объекта ИЖС (ст. 51.1 ГрК РФ)?;10 лет
Г13;Д2;Требуется ли разрешение на строительство для строений вспомогательного использования (ст. 51 ГрК РФ)?;не требуется
Г14;Д2;Требуется ли государственная экспертиза проектной документации для объектов ИЖС (ст. 49 ГрК РФ)?;не требуется
Г15;Д2;Сколько лет составляет минимальный гарантийный срок на объект долевого строительства (ст. 7 Закона № 214-ФЗ)?;5 лет
Г16;Д2;Каков гарантийный срок на технологическое и инженерное оборудование объекта долевого строительства (ст. 7 Закона № 214-ФЗ)?;3 года
Г17;Д2;Каков предельный срок устранения застройщиком недостатков объекта долевого строительства (ст. 7 Закона № 214-ФЗ)?;не более 60 календарных дней
Г18;Д2;Является ли членство в саморегулируемой организации обязательным для подрядчика по договору строительного подряда с ценой до 10 млн рублей (ст. 55.8 ГрК РФ)?;не требуется
Г19;Д5;Сколько депутатов в Государственной Думе (ст. 95 Конституции РФ)?;450
Г20;Д5;Каков срок полномочий Президента РФ (ст. 81 Конституции РФ)?;6 лет
Г21;Д5;С какого возраста гражданин может быть избран Президентом РФ (ст. 81 Конституции РФ)?;с 35 лет
Г22;Д2;В какой срок орган государственного строительного надзора уведомляется о начале строительства (ст. 52 ГрК РФ)?;не позднее 7 рабочих дней до начала работ
Г23;Д5;Каков срок полномочий Государственной Думы (ст. 96 Конституции РФ)?;5 лет
Г24;Д2;Требуется ли повторная экспертиза при изменении проектной документации, не затрагивающем конструктивные характеристики надёжности и безопасности (ст. 49 ГрК РФ)?;не требуется
Г25;Д2;Кто несёт ответственность за организацию подготовки проектной документации при привлечении иных лиц (ст. 48 ГрК РФ)?;застройщик или технический заказчик
Г26;Д2;Что является основанием для выполнения инженерных изысканий (ст. 47 ГрК РФ)?;задание застройщика или технического заказчика и программа изысканий
Г27;Д2;Сохраняет ли действие разрешение на строительство при переходе прав на земельный участок (ст. 51 ГрК РФ)?;сохраняет
Г28;Д2;Требуется ли разрешение на ввод в эксплуатацию для объекта ИЖС (ст. 55 ГрК РФ)?;не требуется, применяется уведомительный порядок
Г29;Д5;Сколько судей входит в состав Конституционного Суда РФ (ст. 125 Конституции РФ)?;11
Г30;Д2;Кто утверждает состав и требования к содержанию разделов проектной документации (ст. 48 ГрК РФ)?;Правительство Российской Федерации
Л1;Д3 [ловушка];На какой срок выдаётся разрешение на строительство индивидуального жилого дома?;разрешение на строительство ИЖС не выдаётся, действует уведомительный порядок
Л2;Д3 [ловушка];Сколько дней составляет срок исковой давности по требованию о взыскании неустойки по договору подряда?;срок исчисляется не в днях: общий срок исковой давности 3 года
Л3;Д3 [ловушка];В каком размере уплачивается государственная пошлина за регистрацию трудового договора?;трудовой договор не подлежит государственной регистрации, пошлина не уплачивается
Л4;Д3 [ловушка];Сколько экземпляров проектной документации нужно сдать в Росреестр при вводе объекта в эксплуатацию?;проектная документация в Росреестр при вводе не сдаётся
Л5;Д3 [ловушка];Каков срок действия лицензии на строительство зданий и сооружений?;лицензирование строительства отменено, применяется членство в СРО
Л6;Д3 [ловушка];Сколько дней даётся работнику на обжалование записи в трудовой книжке в трудовой инспекции?;специального срока не установлено, инспекция не рассматривает индивидуальные трудовые споры
Л7;Д3 [ловушка];В каком году вступил в силу Градостроительный кодекс РФ 1998 года?;Градостроительный кодекс 1998 года был принят в 1998 году, действующий кодекс принят в 2004 году
Л8;Д3 [ловушка];Какова максимальная продолжительность испытательного срока для беременной женщины?;испытание при приёме на работу для беременных женщин не устанавливается
Л9;Д3 [ловушка];Сколько раз подряд можно продлевать срочный трудовой договор с одним работником?;продление срочного трудового договора законом не предусмотрено
Л10;Д3 [ловушка];Каков размер обязательного нотариального тарифа при заключении договора строительного подряда?;нотариальная форма для договора строительного подряда не требуется
Л11;Д3 [ловушка];С какого этажа требуется устройство лифта в индивидуальном жилом доме?;требование об устройстве лифта к объектам ИЖС не предъявляется
Л12;Д3 [ловушка];Сколько членов должно быть в приёмочной комиссии при вводе объекта капитального строительства в эксплуатацию?;приёмочная комиссия при вводе в эксплуатацию не создаётся
Л13;Д3 [ловушка];Каков срок давности привлечения к дисциплинарной ответственности за проступок, совершённый пять лет назад?;привлечение невозможно: предельный срок 6 месяцев со дня совершения
Л14;Д3 [ловушка];В каком размере выплачивается тринадцатая зарплата по Трудовому кодексу?;тринадцатая зарплата Трудовым кодексом не предусмотрена
Л15;Д3 [ловушка];Сколько дней отпуска положено работнику за первый месяц работы?;право на отпуск возникает через 6 месяцев, помесячного начисления дней отпуска к использованию нет
Л16;Д3 [ловушка];Какой государственный орган выдаёт сертификат соответствия проектировщика?;сертификация проектировщиков государственным органом не предусмотрена
Л17;Д3 [ловушка];Каков срок бесплатного гарантийного обслуживания объекта капитального строительства по Градостроительному кодексу?;Градостроительный кодекс гарантийных сроков не устанавливает, они определяются договором
Л18;Д3 [ловушка];Сколько раз в год работодатель обязан индексировать заработную плату?;периодичность индексации законом не установлена, определяется локальными актами
Л19;Д3 [ловушка];В каком суде обжалуется отказ в выдаче разрешения на строительство физическому лицу для ИЖС?;разрешение на ИЖС не выдаётся, обжалуется уведомление о несоответствии
Л20;Д3 [ловушка];Какова минимальная площадь земельного участка для ИЖС по Градостроительному кодексу?;кодекс минимальную площадь не устанавливает, она определяется правилами землепользования и застройки
Л21;Д3 [ловушка];Сколько лет действует положительное заключение негосударственной экспертизы после ввода объекта?;срок действия заключения экспертизы не ограничен
Л22;Д3 [ловушка];Какой процент от сметы составляет обязательный резерв на непредвиденные работы по Гражданскому кодексу?;Гражданский кодекс такого резерва не устанавливает
Л23;Д3 [ловушка];Сколько дней составляет обязательный претензионный срок по договору подряда между юридическими лицами?;обязательный претензионный порядок для договора подряда законом не установлен
Л24;Д3 [ловушка];В каком возрасте работник обязан выйти на пенсию и прекратить трудовой договор?;обязанности прекратить трудовой договор по возрасту нет
Л25;Д3 [ловушка];Сколько составляет ставка НДС для работ по договору строительного подряда для физического лица?;ставка не зависит от статуса заказчика, общая ставка НДС 20 процентов
П1;Д4;Каков общий срок исковой давности (ст. 196 ГК РФ)?;3 года
П2;Д4;Каков предельный срок исковой давности со дня нарушения права (ст. 196 ГК РФ)?;10 лет
П3;Д4;Каков срок исковой давности по требованиям, предъявляемым в связи с ненадлежащим качеством работы по договору подряда (ст. 725 ГК РФ)?;1 год
П4;Д4;Каков срок исковой давности по требованиям в отношении зданий и сооружений по договору подряда (ст. 725 ГК РФ)?;3 года
П5;Д4;Каков предельный срок обнаружения недостатков результата работы, если гарантийный срок не установлен (ст. 724 ГК РФ)?;2 года
П6;Д4;Каков предельный срок обнаружения недостатков в отношении зданий и сооружений (ст. 756 ГК РФ)?;5 лет
П7;Д4;Вправе ли подрядчик оформить односторонний акт при уклонении заказчика от приёмки (ст. 753 ГК РФ)?;вправе
П8;Д4;Какой пункт статьи 753 ГК РФ регулирует односторонний акт сдачи-приёмки?;пункт 4
П9;Д4;Каков срок для акцепта оферты, содержащей срок для акцепта (ст. 440 ГК РФ)?;срок, указанный в оферте
П10;Д4;Что признаётся существенным условием договора строительного подряда помимо предмета (ст. 708 ГК РФ)?;сроки начала и окончания работ
П11;Д4;Каков размер законной неустойки за просрочку по общему правилу Гражданского кодекса?;законная неустойка по договору подряда не установлена, применяются проценты по ст. 395 ГК РФ
П12;Д4;Какая статья Гражданского кодекса устанавливает ответственность за пользование чужими денежными средствами?;статья 395
П13;Д4;Каков срок для устранения недостатков, если он не установлен договором (ст. 723 ГК РФ)?;разумный срок
П14;Д4;Вправе ли заказчик отказаться от исполнения договора подряда в любое время до сдачи результата (ст. 717 ГК РФ)?;вправе
П15;Д4;Какая доля цены подлежит уплате подрядчику при одностороннем отказе заказчика (ст. 717 ГК РФ)?;часть цены пропорционально выполненной работе
П16;Д4;Кто несёт риск случайной гибели результата работы до приёмки по общему правилу (ст. 705 ГК РФ)?;подрядчик
П17;Д4;Кто несёт риск случайной гибели материалов по общему правилу (ст. 705 ГК РФ)?;сторона, предоставившая материалы
П18;Д4;Обязан ли подрядчик предупредить заказчика об обстоятельствах, угрожающих годности работы (ст. 716 ГК РФ)?;обязан
П19;Д4;Вправе ли подрядчик привлекать субподрядчиков, если это не запрещено договором (ст. 706 ГК РФ)?;вправе
П20;Д4;Кто отвечает перед заказчиком за действия субподрядчика (ст. 706 ГК РФ)?;генеральный подрядчик
П21;Д4;Является ли смета частью договора подряда после подтверждения заказчиком (ст. 709 ГК РФ)?;является
П22;Д4;Вправе ли подрядчик требовать увеличения твёрдой цены при удорожании материалов по общему правилу (ст. 709 ГК РФ)?;не вправе
П23;Д4;Вправе ли заказчик отказаться от договора при существенном превышении приблизительной сметы (ст. 709 ГК РФ)?;вправе
П24;Д4;С какого возраста наступает полная дееспособность гражданина (ст. 21 ГК РФ)?;с 18 лет
П25;Д4;Каков срок для принятия наследства (ст. 1154 ГК РФ)?;6 месяцев
П26;Д4;В течение какого срока действует исключительное право на произведение после смерти автора (ст. 1281 ГК РФ)?;70 лет
П27;Д4;Каков срок действия доверенности, если он не указан (ст. 186 ГК РФ)?;1 год
П28;Д4;Каков срок для одностороннего отказа от исполнения договора возмездного оказания услуг заказчиком (ст. 782 ГК РФ)?;в любое время до оказания услуги
П29;Д4;Требуется ли государственная регистрация договора аренды здания, заключённого на срок менее года (ст. 651 ГК РФ)?;не требуется
П30;Д4;С какого срока договор аренды здания подлежит государственной регистрации (ст. 651 ГК РФ)?;от 1 года и более
П31;Д4;Каков срок исковой давности по требованию о применении последствий недействительности ничтожной сделки (ст. 181 ГК РФ)?;3 года
П32;Д4;Каков срок исковой давности по требованию о признании оспоримой сделки недействительной (ст. 181 ГК РФ)?;1 год
П33;Д4;В какой форме должен быть заключён договор строительного подряда между юридическими лицами (ст. 161 ГК РФ)?;в простой письменной форме
П34;Д4;Каков срок хранения документов бухгалтерского учёта (ст. 29 Закона № 402-ФЗ)?;не менее 5 лет
П35;Д4;Каков срок подачи апелляционной жалобы на решение арбитражного суда первой инстанции (ст. 259 АПК РФ)?;1 месяц
С1;Д5;Каков срок рассмотрения обращения гражданина государственным органом (Закон № 59-ФЗ)?;30 дней
С2;Д5;На сколько дней может быть продлён срок рассмотрения обращения гражданина (Закон № 59-ФЗ)?;не более чем на 30 дней
С3;Д5;В какой срок регистрируется обращение гражданина (Закон № 59-ФЗ)?;3 дня
С4;Д5;Каков срок государственной регистрации прав на недвижимое имущество при подаче через МФЦ (Закон № 218-ФЗ)?;9 рабочих дней
С5;Д5;Каков срок государственной регистрации прав при подаче документов в орган регистрации (Закон № 218-ФЗ)?;7 рабочих дней
С6;Д5;Каков срок осуществления государственного кадастрового учёта (Закон № 218-ФЗ)?;5 рабочих дней
С7;Д5;Каков срок предоставления сведений из ЕГРН (Закон № 218-ФЗ)?;3 рабочих дня
С8;Д4;Какова общая ставка НДС (ст. 164 НК РФ)?;20 процентов
С9;Д5;Каков срок заключения контракта по итогам электронного аукциона со дня размещения протокола (ст. 51 Закона № 44-ФЗ)?;не ранее 10 дней
С10;Д4;Какова основная ставка НДФЛ для налоговых резидентов (ст. 224 НК РФ)?;13 процентов
С11;Д4;С какого возраста по общему правилу допускается вступление в брак (ст. 13 СК РФ)?;с 18 лет
С12;Д5;Каков срок направления заказчиком сведений в реестр контрактов (Закон № 44-ФЗ)?;5 рабочих дней
С13;Д5;Каков срок давности привлечения к административной ответственности по общему правилу (ст. 4.5 КоАП РФ)?;60 календарных дней
С14;Д5;Каков срок давности привлечения к административной ответственности за нарушение законодательства о градостроительной деятельности (ст. 4.5 КоАП РФ)?;1 год
С15;Д5;Каков срок обжалования постановления по делу об административном правонарушении (ст. 30.3 КоАП РФ)?;10 суток
С16;Д5;Каков срок уплаты административного штрафа (ст. 32.2 КоАП РФ)?;60 дней
С17;Д5;Каков срок направления акта проверки контролируемому лицу (Закон № 248-ФЗ)?;в день окончания проверки
С18;Д4;В течение какого срока потребитель вправе отказаться от товара, купленного дистанционно, после его передачи (ст. 26.1 Закона о защите прав потребителей)?;7 дней
С19;Д5;С какого возраста гражданин может быть избран депутатом Государственной Думы (ст. 97 Конституции РФ)?;с 21 года
С20;Д5;Каков срок предоставления налоговой декларации по налогу на прибыль за год (ст. 289 НК РФ)?;не позднее 25 марта
С21;Д5;Каков срок камеральной налоговой проверки (ст. 88 НК РФ)?;3 месяца
С22;Д5;Каков общий срок выездной налоговой проверки (ст. 89 НК РФ)?;2 месяца
С23;Д5;Каков срок хранения документов налогового учёта (ст. 23 НК РФ)?;5 лет
С24;Д5;Каков срок направления требования об уплате налога со дня выявления недоимки (ст. 70 НК РФ)?;3 месяца
С25;Д5;Каков срок обращения налогового органа в суд о взыскании недоимки с физического лица (ст. 48 НК РФ)?;6 месяцев
=== КОНЕЦ ЗАДАНИЙ ===

SHA-256 реестра: ebfafe61446d665c6c339bc3bf8c4c47251f1397ef65dcd3b732d99842378e4d
Сформировано: 09.09.2026
