"id";"категория";"ловушка";"вопрос";"эталон";"ответ_М1_первичный";"оценка_М1";"ответ_М2_первичный";"оценка_М2";"консенсус_1_раунда";"уточнение";"итоговый_ответ";"оценка_способа";"расхождений_в_протоколе";"статус_протокола";"арбитр";"длит_мс"
"П11";"Д1";"нет";"Вычислите: 683 × 524.";"357892";"683 × 524 = 357 892.";"верно";"Произведение 683 и 524 равно 357 892.";"верно";"да";"нет";"683 × 524 = 357 892";"верно";"0";"консенсус";"М1";"4684"
"П12";"Д1";"нет";"Вычислите: 358 × 761.";"272438";"358 × 761 = 272 438.";"верно";"358 × 761 = 272 438.";"верно";"да";"нет";"272 438";"верно";"0";"консенсус";"М2";"6001"
"П13";"Д1";"нет";"Найдите наибольший общий делитель чисел 1274 и 882.";"98";"НОД(1274, 882) = 98.   Разложение: 1274 = 2 × 7² × 13, 882 = 2 × 3² × 7². Общие множители: 2 × 7² = 98.";"верно";"Наибольший общий делитель чисел 1274 и 882 равен 98.";"верно";"да";"нет";"НОД(1274, 882) = 98";"верно";"0";"консенсус";"М1";"6772"
"П14";"Д1";"нет";"Найдите наибольший общий делитель чисел 2310 и 1365.";"105";"НОД(2310, 1365) = 105.   Разложение: 2310 = 2·3·5·7·11, 1365 = 3·5·7·13. Общие множители: 3·5·7 = 105.";"верно";"Наибольший общий делитель чисел 2310 и 1365 равен 105.";"верно";"да";"нет";"НОД(2310, 1365) = 105.";"верно";"0";"консенсус";"М2";"8060"
"П15";"Д1";"нет";"Найдите наибольший общий делитель чисел 1071 и 819.";"63";"НОД(1071, 819) = 21.   Проверка: 1071 = 21 × 51, 819 = 21 × 39.";"НЕВЕРНО";"Наибольший общий делитель чисел 1071 и 819 равен 51.";"НЕВЕРНО";"нет";"да";"НОД(1071, 819) = 63.";"верно";"1";"консенсус";"М1";"12354"
"П16";"Д1";"нет";"Найдите наибольший общий делитель чисел 1848 и 1560.";"24";"НОД(1848, 1560) = 24.";"верно";"Наибольший общий делитель чисел 1848 и 1560 равен 24.";"верно";"да";"нет";"НОД(1848, 1560) = 24.";"верно";"0";"консенсус";"М2";"6840"
"П17";"Д1";"нет";"Найдите наибольший общий делитель чисел 2436 и 1044.";"348";"НОД(2436, 1044) = 348.   Разложение: 2436 = 2²·3·7·29, 1044 = 2²·3²·29, общие множители — 2²·3·29 = 348.";"верно";"Наибольший общий делитель чисел 2436 и 1044 равен 12.";"НЕВЕРНО";"нет";"да";"НОД(2436, 1044) = 348.";"верно";"0";"консенсус";"М1";"10868"
"П18";"Д1";"нет";"Найдите наибольший общий делитель чисел 1755 и 1235.";"65";"НОД(1755, 1235) = 65.   (1755 = 65 × 27, 1235 = 65 × 19).";"верно";"Наибольший общий делитель чисел 1755 и 1235 равен 5.";"НЕВЕРНО";"нет";"да";"НОД(1755, 1235) = 65.";"верно";"0";"консенсус";"М2";"16726"
"П19";"Д1";"нет";"Сколькими нулями оканчивается число 22! (факториал числа 22)?";"4";"Число нулей в конце факториала определяется количеством множителей 5 в его разложении (так как двоек всегда больше).   Для 22! это: 22 ÷ 5 = 4 (остаток 2), значит, ровно 4 нуля.   **Ответ: 4.**";"НЕВЕРНО";"Число 22! оканчивается четырьмя нулями.";"верно";"да";"нет";"Число 22! оканчивается 4 нулями.";"верно";"0";"консенсус";"М1";"10079"
"П20";"Д1";"нет";"Сколькими нулями оканчивается число 26! (факториал числа 26)?";"6";"Число нулей в конце факториала определяется количеством множителей 5 в его разложении (так как двоек всегда больше).   Считаем: 26 ÷ 5 = 5, 26 ÷ 25 = 1, итого 5 + 1 = 6.   Ответ: 6 нулей.";"НЕВЕРНО";"Число 26! оканчивается 6 нулями. Количество нулей определяется суммой целых частей от деления 26 на 5, 25 и 125: $5 + 1 + 0 = 6$.";"верно";"да";"нет";"6 нулей";"верно";"0";"консенсус";"М2";"8421"
"П21";"Д1";"нет";"Сколькими нулями оканчивается число 28! (факториал числа 28)?";"6";"Число нулей в конце 28! определяется количеством пятёрок в его разложении на простые множители.   Считаем: 28 ÷ 5 = 5, 28 ÷ 25 = 1, итого 5 + 1 = 6.    Ответ: 6 нулей.";"НЕВЕРНО";"Число 28! оканчивается шестью нулями.";"верно";"да";"нет";"Число 28! оканчивается 6 нулями.";"верно";"0";"консенсус";"М1";"6992"
"П22";"Д1";"нет";"Сколькими нулями оканчивается число 31! (факториал числа 31)?";"7";"Число 31! оканчивается на 7 нулей. Это определяется количеством множителей 5 в разложении: 31 ÷ 5 = 6, 31 ÷ 25 = 1, итого 6 + 1 = 7.";"верно";"Число 31! оканчивается семью нулями.";"верно";"да";"нет";"Число 31! оканчивается на 7 нулей.";"верно";"0";"консенсус";"М2";"7249"
"П23";"Д1";"нет";"Сколькими нулями оканчивается число 34! (факториал числа 34)?";"7";"Число нулей в конце факториала определяется количеством множителей 5 в его разложении (так как двоек всегда больше).   Считаем: 34 ÷ 5 = 6 (целых), 34 ÷ 25 = 1 (целых). Итого 6 + 1 = 7.   Ответ: 7 нулей.";"НЕВЕРНО";"Число 34! оканчивается семью нулями. Количество нулей определяется количеством пар множителей 2 и 5, а поскольку пятерок в разложении меньше, чем двоек, достаточно посчитать количество кратных 5, 25 и т. д.: $\lfloor34/5\rfloor + \lfloor34/25\rfloor = 6 + 1 = 7$.";"НЕВЕРНО";"да";"нет";"Число 34! оканчивается 7 нулями.";"верно";"0";"консенсус";"М1";"6408"
"П24";"Д1";"нет";"Какой день недели был 12.04.1961?";"среда";"12 апреля 1961 года была среда.";"верно";"12 апреля 1961 года была среда.";"верно";"да";"нет";"12 апреля 1961 года была среда.";"верно";"0";"консенсус";"М2";"6825"
"П25";"Д1";"нет";"Какой день недели был 01.01.2000?";"суббота";"1 января 2000 года была суббота.";"верно";"1 января 2000 года была суббота.";"верно";"да";"нет";"1 января 2000 года была суббота.";"верно";"0";"консенсус";"М1";"5373"
"П26";"Д1";"нет";"Какой день недели был 31.12.1999?";"пятница";"31 декабря 1999 года была пятница.";"верно";"31 декабря 1999 года была пятница.";"верно";"да";"нет";"31 декабря 1999 года была пятница.";"верно";"0";"консенсус";"М2";"6172"
"П27";"Д1";"нет";"Какой день недели был 19.08.1991?";"понедельник";"19 августа 1991 года был понедельник.";"верно";"19 августа 1991 года был понедельник.";"верно";"да";"нет";"19 августа 1991 года был понедельник.";"верно";"0";"консенсус";"М1";"4524"
"П28";"Д1";"нет";"Какой день недели был 08.03.1917?";"четверг";"8 марта 1917 года был четверг.";"верно";"Четверг.";"верно";"нет";"да";"8 марта 1917 года был четверг.";"верно";"0";"консенсус";"М2";"12622"
"П29";"Д1";"нет";"Запишите слово ""библиотека"" задом наперёд.";"акетоилбиб";"акитолибиб";"НЕВЕРНО";"акотелиб";"НЕВЕРНО";"нет";"да";"акитолибиб";"НЕВЕРНО";"1";"частичное_расхождение";"М1";"13002"
"П30";"Д1";"нет";"Запишите слово ""паровоз"" задом наперёд.";"зоворап";"""зоворап""";"верно";"зоворап";"верно";"да";"нет";"зоворап";"верно";"0";"консенсус";"М2";"10042"
"П31";"Д1";"нет";"Запишите слово ""снегопад"" задом наперёд.";"дапогенс";"дапогенс";"верно";"дапогонс";"НЕВЕРНО";"нет";"да";"дапогенс";"верно";"1";"частичное_расхождение";"М1";"6786"
"П32";"Д1";"нет";"Запишите слово ""квартал"" задом наперёд.";"латравк";"латравк";"верно";"латравк";"верно";"да";"нет";"латравк";"верно";"0";"консенсус";"М2";"5425"
"П33";"Д1";"нет";"Запишите слово ""минерал"" задом наперёд.";"лареним";"ларониМ.";"НЕВЕРНО";"лареним";"верно";"нет";"да";"лароним";"НЕВЕРНО";"1";"консенсус";"М1";"10014"
"П34";"Д1";"нет";"Сколько раз буква ""о"" встречается в слове ""обороноспособность""?";"7";"В слове «обороноспособность» буква «о» встречается 5 раз.";"НЕВЕРНО";"Буква «о» встречается в слове «обороноспособность» 6 раз.";"НЕВЕРНО";"нет";"да";"В слове «обороноспособность» буква «о» встречается 7 раз.";"верно";"0";"консенсус";"М2";"12449"
"П35";"Д1";"нет";"Сколько раз буква ""е"" встречается в слове ""параллелепипед""?";"3";"В слове «параллелепипед» буква «е» встречается 3 раза.";"верно";"Буква «е» встречается в слове «параллелепипед» 2 раза.";"НЕВЕРНО";"нет";"да";"Буква «е» встречается в слове «параллелепипед» 3 раза.";"верно";"1";"консенсус";"М1";"8945"
"П36";"Д1";"нет";"Сколько раз буква ""е"" встречается в слове ""землетрясение""?";"4";"В слове «землетрясение» буква «е» встречается 4 раза.";"верно";"Буква «е» встречается в слове «землетрясение» 2 раза.";"НЕВЕРНО";"нет";"да";"В слове «землетрясение» буква «е» встречается 4 раза.";"верно";"0";"консенсус";"М2";"12739"
"П37";"Д1";"нет";"Сколько раз буква ""н"" встречается в слове ""единомышленники""?";"3";"В слове «единомышленники» буква «н» встречается 3 раза.";"верно";"Буква «н» встречается в слове «единомышленники» 3 раза.";"верно";"да";"нет";"В слове «единомышленники» буква «н» встречается 3 раза.";"верно";"0";"консенсус";"М1";"5429"
"П38";"Д1";"нет";"Сколько раз буква ""о"" встречается в слове ""воспроизводительность""?";"4";"В слове «воспроизводительность» буква «о» встречается 4 раза.";"верно";"Буква «о» встречается в слове «воспроизводительность» 4 раза.";"верно";"да";"нет";"В слове «воспроизводительность» буква «о» встречается 4 раза.";"верно";"0";"консенсус";"М2";"7688"
"П39";"Д1";"нет";"Сколько раз буква ""п"" встречается в слове ""переподготовка""?";"2";"В слове «переподготовка» буква «п» встречается 3 раза.";"НЕВЕРНО";"Буква «п» встречается в слове «переподготовка» 3 раза.";"НЕВЕРНО";"да";"нет";"В слове «переподготовка» буква «п» встречается 3 раза.";"НЕВЕРНО";"0";"консенсус";"М1";"5185"
"П40";"Д1";"нет";"Сколько раз буква ""о"" встречается в слове ""скороговорка""?";"4";"В слове «скороговорка» буква «о» встречается 3 раза.";"НЕВЕРНО";"Буква «о» встречается в слове «скороговорка» 2 раза.";"НЕВЕРНО";"нет";"да";"В слове «скороговорка» буква «о» встречается 3 раза.";"НЕВЕРНО";"0";"консенсус";"М2";"10613"
"П41";"Д1";"нет";"Что больше: 2 в степени 10 или 10 в степени 3?";"2^10 = 1024 больше";"2 в степени 10 (1024) больше, чем 10 в степени 3 (1000).";"верно";"$2^{10} = 1024$, что больше, чем $10^3 = 1000$. Следовательно, $2^{10}$ больше.";"верно";"да";"нет";"2 в степени 10 (1024) больше, чем 10 в степени 3 (1000).";"верно";"0";"консенсус";"М1";"8273"
"П42";"Д1";"нет";"Верно ли, что сумма углов любого треугольника равна 180 градусам?";"верно, 180";"Да, в евклидовой геометрии сумма внутренних углов любого треугольника всегда равна 180 градусам. Это фундаментальная теорема, которая не выполняется в неевклидовых геометриях (например, на сфере или в гиперболическом пространстве).";"верно";"Нет, это утверждение верно только в евклидовой геометрии. В неевклидовых геометриях (например, на сфере или гиперболической плоскости) сумма углов треугольника может быть соответственно больше или меньше 180 градусов.";"НЕВЕРНО";"нет";"да";"Утверждение верно только в евклидовой геометрии. В неевклидовых геометриях (например, на сфере или гиперболической плоскости) сумма углов треугольника может быть больше или меньше 180 градусов.";"верно";"0";"консенсус";"М2";"19946"
"П43";"Д1";"нет";"Если сегодня среда, какой день будет через 100 дней?";"пятница";"Через 100 дней будет пятница (так как 100 дней = 14 недель + 2 дня, среда + 2 дня = пятница).";"верно";"Через 100 дней будет пятница, так как 100 дней — это 14 недель и 2 дня (среда + 2 дня).";"верно";"да";"нет";"Через 100 дней будет пятница (100 дней = 14 недель + 2 дня, среда + 2 дня = пятница).";"верно";"0";"консенсус";"М1";"10294"
"П44";"Д1";"нет";"Число 289 является квадратом какого целого числа?";"17";"Число 289 является квадратом числа 17, так как 17 × 17 = 289.";"верно";"Число 289 является квадратом числа 17, так как 17 × 17 = 289.";"верно";"да";"нет";"Число 289 является квадратом числа 17.";"верно";"0";"консенсус";"М2";"11296"
"П45";"Д1";"нет";"Сколько секунд в 2,5 часа?";"9000";"В 2,5 часах ровно 9000 секунд (2,5 × 3600 = 9000).";"верно";"В 2,5 часах содержится 9000 секунд.";"верно";"да";"нет";"В 2,5 часах ровно 9000 секунд.";"верно";"0";"консенсус";"М1";"5391"
"Ф1";"Д2";"нет";"Назовите столицу Канады.";"Оттава";"Столица Канады — Оттава.";"верно";"Столица Канады — Оттава.";"верно";"да";"нет";"Столица Канады — Оттава.";"верно";"0";"консенсус";"М2";"6327"
"Ф2";"Д2";"нет";"Назовите столицу Бразилии.";"Бразилиа";"Столица Бразилии — город Бразилиа.";"верно";"Столица Бразилии — город Бразилиа.";"верно";"да";"нет";"Столица Бразилии — город Бразилиа.";"верно";"0";"консенсус";"М1";"5534"
"Ф3";"Д2";"нет";"Назовите столицу Турции.";"Анкара";"Столица Турции — Анкара.";"верно";"Столица Турции — Анкара.";"верно";"да";"нет";"Столица Турции — Анкара.";"верно";"0";"консенсус";"М2";"10039"
"Ф4";"Д2";"нет";"Назовите столицу Швейцарии.";"Берн";"Столица Швейцарии — Берн (де-факто, так как официально в стране нет формальной столицы).";"верно";"Столица Швейцарии — Берн.";"верно";"нет";"да";"Столица Швейцарии — Берн (де-факто, так как официально в стране нет формальной столицы).";"верно";"0";"консенсус";"М1";"11148"
"Ф5";"Д2";"нет";"Какой химический элемент обозначается символом Au?";"золото";"Символом Au обозначается золото (лат. Aurum).";"верно";"Символ Au обозначает химический элемент золото (латинское название *Aurum*).";"верно";"да";"нет";"Символом Au обозначается золото (лат. Aurum).";"верно";"0";"консенсус";"М2";"11869"
"Ф6";"Д2";"нет";"Какой химический элемент обозначается символом Fe?";"железо";"Символ Fe обозначает химический элемент железо (лат. Ferrum).";"верно";"Химический элемент, обозначаемый символом Fe, — это железо.";"верно";"да";"нет";"Символ Fe обозначает химический элемент железо (лат. Ferrum).";"верно";"0";"консенсус";"М1";"5558"
"Ф7";"Д2";"нет";"Сколько хромосом в соматической клетке человека?";"46";"В соматической клетке человека содержится 46 хромосом (23 пары).";"верно";"В соматической клетке человека содержится 46 хромосом, которые образуют 23 пары.";"верно";"да";"нет";"В соматической клетке человека содержится 46 хромосом (23 пары).";"верно";"0";"консенсус";"М2";"8215"
"Ф8";"Д2";"нет";"Сколько камер в сердце человека?";"4";"В сердце человека четыре камеры: два предсердия и два желудочка.";"НЕВЕРНО";"В анатомии сердца человека выделяют четыре камеры: два предсердия и два желудочка.";"НЕВЕРНО";"да";"нет";"В сердце человека четыре камеры: два предсердия и два желудочка.";"НЕВЕРНО";"0";"консенсус";"М1";"5635"
"Ф9";"Д2";"нет";"Сколько молочных зубов у ребёнка?";"20";"У ребёнка 20 молочных зубов.";"верно";"У ребёнка обычно 20 молочных зубов: по 10 на каждой челюсти.";"верно";"нет";"да";"У ребёнка обычно 20 молочных зубов: по 10 на каждой челюсти.";"верно";"0";"консенсус";"М2";"10342"
"Ф10";"Д2";"нет";"Какое озеро является самым глубоким в мире?";"Байкал";"Самым глубоким озером в мире является озеро Байкал, расположенное в России. Его максимальная глубина составляет около 1642 метров.";"верно";"Самым глубоким озером в мире является Байкал, его максимальная глубина составляет 1642 метра.";"верно";"да";"нет";"Самым глубоким озером в мире является озеро Байкал в России, его максимальная глубина составляет около 1642 метров.";"верно";"0";"консенсус";"М1";"5941"
"Ф11";"Д2";"нет";"Какая гора является высочайшей над уровнем моря?";"Эверест";"Высочайшей горой над уровнем моря является Джомолунгма (Эверест), её вершина достигает 8848,86 метра. Она расположена в Гималаях на границе Непала и Китая.";"верно";"Высочайшей горой над уровнем моря является Эверест (Джомолунгма) высотой 8848,86 метра.";"верно";"нет";"да";"Высочайшей горой над уровнем моря является Джомолунгма (Эверест) высотой 8848,86 метра, расположенная в Гималаях на границе Непала и Китая.";"верно";"0";"консенсус";"М2";"12563"
"Ф12";"Д2";"нет";"В каком году произошло Крещение Руси?";"988";"Крещение Руси произошло в 988 году при князе Владимире Святославиче.";"верно";"Крещение Руси традиционно датируется 988 годом, когда князь Владимир Святославич принял решение крестить киевлян.";"верно";"да";"нет";"Крещение Руси произошло в 988 году при князе Владимире Святославиче.";"верно";"0";"консенсус";"М1";"7123"
"Ф13";"Д2";"нет";"В каком году состоялась Куликовская битва?";"1380";"Куликовская битва состоялась в 1380 году.";"верно";"Куликовская битва состоялась 8 сентября 1380 года.";"верно";"нет";"да";"Куликовская битва состоялась 8 сентября 1380 года.";"верно";"0";"консенсус";"М2";"9956"
"Ф14";"Д2";"нет";"В каком году завершилась Вторая мировая война?";"1945";"Вторая мировая война завершилась в 1945 году.";"верно";"Вторая мировая война завершилась 2 сентября 1945 года после подписания акта о капитуляции Японии.";"верно";"нет";"да";"Вторая мировая война завершилась 2 сентября 1945 года подписанием акта о капитуляции Японии.";"верно";"0";"консенсус";"М1";"8596"
"Ф15";"Д2";"нет";"В каком году состоялся первый полёт самолёта братьев Райт?";"1903";"Первый полёт самолёта братьев Райт состоялся 17 декабря 1903 года.";"верно";"Первый успешный полёт самолёта братьев Райт состоялся 17 декабря 1903 года.";"верно";"да";"нет";"Первый полёт самолёта братьев Райт состоялся 17 декабря 1903 года.";"верно";"0";"консенсус";"М2";"8903"
"Ф16";"Д2";"нет";"В каком году пала Берлинская стена?";"1989";"Берлинская стена пала 9 ноября 1989 года.";"верно";"Берлинская стена пала 9 ноября 1989 года.";"верно";"да";"нет";"Берлинская стена пала 9 ноября 1989 года.";"верно";"0";"консенсус";"М1";"5176"
"Ф17";"Д2";"нет";"В каком году прекратил существование СССР?";"1991";"СССР прекратил существование 26 декабря 1991 года, когда Совет Республик Верховного Совета СССР принял декларацию о прекращении существования Союза.";"верно";"СССР прекратил существование 26 декабря 1991 года, когда Совет Республик Верховного Совета СССР принял декларацию о роспуске Союза.";"верно";"да";"нет";"СССР прекратил существование 26 декабря 1991 года.";"верно";"0";"консенсус";"М2";"8481"
"Ф18";"Д2";"нет";"В каком году прошёл первый чемпионат мира по футболу?";"1930";"Первый чемпионат мира по футболу прошёл в 1930 году в Уругвае.";"верно";"Первый чемпионат мира по футболу прошёл в 1930 году в Уругвае.";"верно";"да";"нет";"Первый чемпионат мира по футболу прошёл в 1930 году в Уругвае.";"верно";"0";"консенсус";"М1";"5722"
"Ф19";"Д2";"нет";"В каком году родился А. С. Пушкин?";"1799";"Александр Сергеевич Пушкин родился в 1799 году (26 мая по старому стилю, 6 июня по новому).";"верно";"Александр Сергеевич Пушкин родился в 1799 году (26 мая по старому стилю или 6 июня по новому).";"верно";"да";"нет";"Александр Сергеевич Пушкин родился в 1799 году.";"верно";"0";"консенсус";"М2";"8577"
"Ф20";"Д2";"нет";"Кто автор романа в стихах ""Евгений Онегин""?";"Пушкин";"Автор романа в стихах «Евгений Онегин» — Александр Сергеевич Пушкин.";"верно";"Автором романа в стихах «Евгений Онегин» является Александр Сергеевич Пушкин.";"верно";"да";"нет";"Автор романа в стихах «Евгений Онегин» — Александр Сергеевич Пушкин.";"верно";"0";"консенсус";"М1";"6832"
"Ф21";"Д2";"нет";"Сколько симфоний написал Людвиг ван Бетховен?";"9";"Людвиг ван Бетховен написал 9 симфоний.";"верно";"Людвиг ван Бетховен написал 9 пронумерованных симфоний. Также ему принадлежат ранние «Боннские» симфонии (WoO 1 и другие), не вошедшие в основной официальный каталог.";"НЕВЕРНО";"нет";"да";"Людвиг ван Бетховен написал 9 пронумерованных симфоний, а также ранние «Боннские» симфонии (WoO 1 и другие), не входящие в основной каталог.";"НЕВЕРНО";"0";"консенсус";"М2";"14844"
"Ф22";"Д2";"нет";"Кто автор картины ""Чёрный квадрат""?";"Малевич";"Автор картины «Чёрный квадрат» — Казимир Малевич.";"верно";"Автором картины «Чёрный квадрат» является русский художник Казимир Малевич.";"верно";"да";"нет";"Автор картины «Чёрный квадрат» — Казимир Малевич.";"верно";"0";"консенсус";"М1";"4711"
"Ф23";"Д2";"нет";"Кто написал роман ""Преступление и наказание""?";"Достоевский";"Роман «Преступление и наказание» написал Фёдор Михайлович Достоевский.";"верно";"Роман «Преступление и наказание» написал русский писатель Фёдор Достоевский.";"верно";"да";"нет";"Роман «Преступление и наказание» написал Фёдор Михайлович Достоевский.";"верно";"0";"консенсус";"М2";"9225"
"Ф24";"Д2";"нет";"Какая планета Солнечной системы самая большая?";"Юпитер";"Самая большая планета Солнечной системы — Юпитер. Его масса более чем вдвое превышает массу всех остальных планет вместе взятых.";"верно";"Самая большая планета Солнечной системы — Юпитер. Ее масса более чем в два раза превышает массу всех остальных планет вместе взятых.";"верно";"да";"нет";"Самая большая планета Солнечной системы — Юпитер. Его масса более чем вдвое превышает массу всех остальных планет вместе взятых.";"верно";"0";"консенсус";"М1";"9050"
"Ф25";"Д2";"нет";"Какая планета ближайшая к Солнцу?";"Меркурий";"Ближайшая к Солнцу планета — Меркурий.";"верно";"Ближайшая к Солнцу планета — Меркурий. Она находится на среднем расстоянии около 58 миллионов километров от звезды.";"верно";"да";"нет";"Ближайшая к Солнцу планета — Меркурий. Она находится на среднем расстоянии около 58 миллионов километров от звезды.";"верно";"0";"консенсус";"М2";"6605"
"Ф26";"Д2";"нет";"Сколько спутников у Марса?";"2";"У Марса два естественных спутника — Фобос и Деймос.";"верно";"У Марса два естественных спутника: Фобос и Деймос.";"верно";"да";"нет";"У Марса два естественных спутника — Фобос и Деймос.";"верно";"0";"консенсус";"М1";"5720"
"Ф27";"Д2";"нет";"Чему примерно равна скорость света в вакууме в километрах в секунду?";"около 300 000";"Скорость света в вакууме равна ровно 299 792 километра в секунду (обычно округляют до 300 000 км/с).";"верно";"Скорость света в вакууме составляет примерно 299 792 километров в секунду.";"верно";"да";"нет";"Скорость света в вакууме равна 299 792 километров в секунду.";"верно";"0";"консенсус";"М2";"11999"
"Ф28";"Д2";"нет";"Сколько костей в скелете взрослого человека (приблизительно)?";"206";"В скелете взрослого человека обычно насчитывается 206 костей. Это число может немного варьироваться из-за индивидуальных анатомических особенностей.";"верно";"В скелете взрослого человека обычно насчитывается 206 костей.";"верно";"да";"нет";"В скелете взрослого человека обычно насчитывается 206 костей, это число может немного варьироваться в зависимости от индивидуальных анатомических особенностей.";"верно";"0";"консенсус";"М1";"7931"
"Ф29";"Д2";"нет";"Какой газ преобладает в атмосфере Земли?";"азот";"В атмосфере Земли преобладает азот (N₂), составляющий около 78% объёма. Кислород занимает второе место — примерно 21%.";"верно";"Преобладающим газом в атмосфере Земли является азот, составляющий около 78% её объема.";"верно";"нет";"да";"Преобладающим газом в атмосфере Земли является азот (около 78%), а второе место занимает кислород (примерно 21%).";"верно";"0";"консенсус";"М2";"14313"
"Ф30";"Д2";"нет";"Какой океан является самым большим по площади?";"Тихий";"Тихий океан — самый большой по площади, занимая около 178,7 млн км², что превышает площадь всей суши Земли.";"верно";"Самый большой по площади океан — Тихий. Он занимает около трети поверхности Земли и больше самого обширного материка более чем в 30 раз.";"верно";"нет";"да";"Тихий океан — самый большой по площади, его площадь составляет около 178,7 млн км², что превышает площадь всей суши Земли.";"верно";"0";"консенсус";"М1";"10908"
"Ф31";"Д2";"нет";"На каком материке расположена пустыня Сахара?";"Африка";"Пустыня Сахара расположена на материке Африка, в её северной части.";"верно";"Пустыня Сахара расположена в Северной Африке.";"верно";"да";"нет";"Пустыня Сахара расположена на материке Африка, в её северной части.";"верно";"0";"консенсус";"М2";"8654"
"Ф32";"Д2";"нет";"Какова температура кипения воды при нормальном атмосферном давлении в градусах Цельсия?";"100";"Температура кипения воды при нормальном атмосферном давлении (101,325 кПа) составляет 100 °C.";"верно";"Температура кипения воды при нормальном атмосферном давлении составляет 100 градусов Цельсия.";"верно";"да";"нет";"Температура кипения воды при нормальном атмосферном давлении (101,325 кПа) составляет 100 °C.";"верно";"0";"консенсус";"М1";"6831"
"Ф33";"Д2";"нет";"Сколько минут длится стандартный футбольный матч (основное время)?";"90";"Стандартный футбольный матч длится 90 минут (два тайма по 45 минут).";"верно";"Стандартный футбольный матч состоит из двух таймов по 45 минут, общая продолжительность основного времени составляет 90 минут.";"верно";"да";"нет";"Стандартный футбольный матч длится 90 минут (два тайма по 45 минут).";"верно";"0";"консенсус";"М2";"6489"
"Ф34";"Д2";"нет";"Сколько игроков одной команды находится на поле в футболе?";"11";"В футболе на поле одновременно находится 11 игроков одной команды, включая вратаря.";"верно";"На поле одновременно находятся 11 игроков одной команды, включая вратаря.";"верно";"да";"нет";"В футболе на поле одновременно находится 11 игроков одной команды, включая вратаря.";"верно";"0";"консенсус";"М1";"5030"
"Ф35";"Д2";"нет";"Сколько струн у классической гитары?";"6";"У классической гитары 6 струн.";"верно";"У классической гитары шесть струн.";"верно";"да";"нет";"У классической гитары 6 струн.";"верно";"0";"консенсус";"М2";"5558"
"Л1";"Д3";"да";"Сколько лет длилась Столетняя война?";"116 лет";"Столетняя война длилась 116 лет — с 1337 по 1453 год.";"верно";"Столетняя война длилась 116 лет, с 1337 по 1453 год.";"верно";"да";"нет";"Столетняя война длилась 116 лет, с 1337 по 1453 год.";"верно";"0";"консенсус";"М1";"5639"
